"","richness_id","density_id","rep","sown_seeds_res","inv_roots_bm_g","inv_abg_bm_g","cum_germ_perc_ciar","mean_rgr_height_ciar","res_root_bm_g","res_abg_bm_g","realized_sr","mean_rgr_height_res","cum_germ_perc_res","mean_mgr","wds_sla"
"58","M1","D3","H3",400,1.0943,0.6224,0.4,NA,2.7123,3.6811,1,NA,0.12,0.37984496124031,0.225172413793103
"59","M1","D3","H4",400,0.2554,1.1442,0.4,0.007,1.15,2.0952,1,0.02,0.07,0.2,0.225172413793103
"60","M1","D3","H5",400,0.7001,0.6383,0.4,0.014,2.5741,2.573,1,0.02,0.17,0.232638888888889,0.225172413793103
"61","M1","D3","M1",400,0.2929,0.286,0.25,0.012,7.2531,5.3305,1,0.03,0.44,0.273425499231951,0.0651724137931034
"62","M1","D3","M2",400,0.0886,0.3173,0.5,0.058,6.0922,3.4421,1,0.01,0.33,0.466192170818505,0.0651724137931034
"63","M1","D3","M3",400,0.087,0.1868,0.3,0.008,4.7693,3.0569,1,0.02,0.56,0.317862165963432,0.0651724137931034
"64","M1","D3","M4",400,0.9072,0.7145,0.45,0.008,9.4115,3.9603,1,0.01,0.44,0.28921568627451,0.0651724137931034
"65","M1","D3","M5",400,0,0.0405,0.15,-0.009,9.8224,6.7534,1,0.02,0.49,0.33277027027027,0.0651724137931034
"66","M1","D3","O1",400,0.0379,0.0821,0.35,-0.011,3.6793,4.088,1,0,0.44,0.274725274725275,0.0248275862068966
"67","M1","D3","O2",400,0.0271,0.0682,0.55,0.006,6.7265,5.7105,1,0.01,0.42,NA,0.0248275862068966
"68","M1","D3","O3",400,0.0086,0.0264,0.25,NA,6.1304,7.1141,1,0.02,0.48,0.262942779291553,0.0248275862068966
"69","M1","D3","O4",400,0.0336,0.0698,0.45,-0.002,3.926,4.2832,1,0.01,0.52,0.25,0.0248275862068966
"70","M1","D3","O5",400,0.0047,0.0062,0.15,0.011,16.1313,5.5709,1,0,0.62,0.274229074889868,0.0248275862068966
"71","M1","D3","R1",400,0.0062,0.0822,0.35,0.046,6.0323,6.3009,1,0.02,0.5,0.245700245700246,0.00482758620689655
"72","M1","D3","R2",400,0.0386,0.2214,0.5,-0.003,5.6438,4.8488,1,0.02,0.22,0.441624365482233,0.00482758620689655
"73","M1","D3","R3",400,0.1598,0.3081,0.25,0.016,4.5576,4.7582,1,0.01,0.3,0.240325865580448,0.00482758620689655
"74","M1","D3","R4",400,0.0107,0.0467,0.3,0.031,5.2904,6.4113,1,0.02,0.27,0.267990074441687,0.00482758620689655
"75","M1","D3","R5",400,0.5322,0.5802,0.35,-0.001,2.1084,5.7232,1,0.01,0.31,0.247011952191235,0.00482758620689655
"76","M2","D1","1",48,1.2645,0.9358,0.3,0.051,2.8637,5.5066,2,0.07,0.17,0.177215189873418,0.0239201451905626
"77","M2","D1","2",48,1.5044,1.1516,0.4,0.042,4.3361,5.5125,2,0.03,0.48,0.188340807174888,0.0208783108445777
"78","M2","D1","3",48,7.0015,6.0504,0.55,0.054,5.7915,3.3862,1,0.01,0.1,0.208333333333333,0.115172413793103
"79","M2","D1","4",48,0.7237,1.3701,0.45,0.025,2.9427,4.6296,2,0.03,0.77,0.254175152749491,0.00938407686005807
"80","M2","D1","5",48,2.696,0.9617,0.35,0.028,5.2858,3.1212,2,0.03,0.19,0.518518518518518,0.100044208664898
"81","M2","D2","1",200,0.183,0.2864,0.3,NA,6.8015,8.2388,2,NA,0.3,0.21301775147929,0.000754938064948085
"82","M2","D2","2",200,0.2788,0.0735,0.35,0.017,5.1401,4.7626,2,0.01,0.44,0.220648698035633,0.0078107794842075
"83","M2","D2","3",200,0.1176,0.0787,0.25,0.013,8.2914,12.4992,2,0.01,0.34,0.303630363036304,0.00462841379310341
"84","M2","D2","5",200,2.0101,2.9784,0.4,0.082,5.0514,3.7667,2,0.07,0.25,0.240384615384615,0.0521485411140584
"85","M2","D3","1",400,0.1304,0.1025,0.35,0.049,5.7535,6.0528,2,0.02,0.21,0.179007151872108,0.0258654831000341
"86","M2","D3","2",400,0.81,0.6449,0.35,0.01,5.242,3.9299,2,0.01,0.29,0.24263431542461,0.0798289023427218
"87","M2","D3","4",400,0.0194,0.0966,0.3,0.003,3.0574,5.5331,2,0.01,0.27,0.205647517039922,0.0184984722828459
"88","M2","D3","5",400,0.0234,0.0854,0.1,0.01,4.382,3.4724,2,0.01,0.36,0.353581142339075,0.0226075722945444
"89","M4","D1","1",48,1.3958,1.3536,0.25,0.061,1.3558,1.3313,4,0.06,0.27,0.15,0.0367513611615245
"90","M4","D1","2",48,0.1109,0.1148,0.4,0.029,1.109,3.4469,4,0.07,0.23,0.198511166253102,0.00578410794602699
"91","M4","D1","3",48,0,0,0,NA,2.3826,7.1942,4,NA,0.42,0.193883439122908,0.0175713187974258
"92","M4","D1","4",48,0.0071,0.0119,0.1,0.031,0.6567,0.3453,4,0.03,0.21,0.333333333333333,0.069290060851927
"93","M4","D1","5",48,2.0904,1.6492,0.5,0.001,5.9205,8.2365,4,0.02,0.33,0.210526315789474,0.0186625376632072
"94","M4","D2","1",200,0.1577,0.3232,0.35,0.02,6.0345,4.4949,4,0.01,0.27,0.229938873715698,0.0504390804597701
"95","M4","D2","2",200,0.0164,0.0697,0.2,0.014,3.7126,9.7542,4,0.01,0.24,0.245744272366569,0.0197046353872244
"96","M4","D2","3",200,0.219,0.0978,0.2,-0.003,6.5376,13.7414,4,0.04,0.3,0.210508645291254,0.0141070621894293
"97","M4","D2","4",200,0.0753,0.3615,0.4,NA,5.5958,4.7734,3,NA,0.33,0.209753539590981,0.066657769441639
"98","M4","D2","5",200,0.1479,NA,0.1,0.025,1.9309,3.8819,4,0.01,0.28,0.198851660731158,0.0184008509883876
"99","M4","D3","1",400,0.4429,0.3498,0.4,0.006,3.0863,3.7512,4,0,0.23,0.196221411998674,0.0376192223037418
"100","M4","D3","2",400,0.2659,0.3012,0.35,NA,2.7048,3.5445,4,NA,0.25,0.212384905501359,0.0111160757649344
"101","M4","D3","3",400,0.0311,0.099,0.4,0.013,1.5182,1.094,2,0.01,0.31,0.257489822192839,0.106081504702194
"102","M4","D3","4",400,0.0101,0.0353,0.55,0.019,4.323,7.0122,4,0.01,0.33,0.21751646216401,0.00992730130661165
"103","M4","D3","5",400,0.894,0.3411,0.4,-0.001,3.7001,11.1942,4,0.01,0.36,0.329267987799797,0.00974268897722719
"104","M2","D2","4",200,NA,NA,0.3,0.043,NA,NA,NA,0.02,0.34,0.171946453812256,NA
"105","M2","D3","3",400,NA,NA,0.4,0.003,NA,NA,NA,0,0.37,0.358661490109077,NA
